name_of_city,state_name,Value
Abohar ,PUNJAB,"Abohar , PUNJAB"
Achalpur ,MAHARASHTRA,"Achalpur , MAHARASHTRA"
Adilabad ,ANDHRA PRADESH,"Adilabad , ANDHRA PRADESH"
Adityapur ,JHARKHAND,"Adityapur , JHARKHAND"
Adoni ,ANDHRA PRADESH,"Adoni , ANDHRA PRADESH"
Agartala ,TRIPURA,"Agartala , TRIPURA"
Agra ,UTTAR PRADESH,"Agra , UTTAR PRADESH"
Ahmadabad ,GUJARAT,"Ahmadabad , GUJARAT"
Ahmadnagar ,MAHARASHTRA,"Ahmadnagar , MAHARASHTRA"
Aizawl ,MIZORAM,"Aizawl , MIZORAM"
Ajmer ,RAJASTHAN,"Ajmer , RAJASTHAN"
Akbarpur ,UTTAR PRADESH,"Akbarpur , UTTAR PRADESH"
Akola ,MAHARASHTRA,"Akola , MAHARASHTRA"
Alandur ,TAMIL NADU,"Alandur , TAMIL NADU"
Alappuzha ,KERALA,"Alappuzha , KERALA"
Aligarh ,UTTAR PRADESH,"Aligarh , UTTAR PRADESH"
Allahabad ,UTTAR PRADESH,"Allahabad , UTTAR PRADESH"
Alwar ,RAJASTHAN,"Alwar , RAJASTHAN"
Ambala ,HARYANA,"Ambala , HARYANA"
Ambala Sadar ,HARYANA,"Ambala Sadar , HARYANA"
Ambarnath ,MAHARASHTRA,"Ambarnath , MAHARASHTRA"
Ambattur ,TAMIL NADU,"Ambattur , TAMIL NADU"
Ambikapur ,CHHATTISGARH,"Ambikapur , CHHATTISGARH"
Ambur ,TAMIL NADU,"Ambur , TAMIL NADU"
Amravati ,MAHARASHTRA,"Amravati , MAHARASHTRA"
Amreli ,GUJARAT,"Amreli , GUJARAT"
Amritsar ,PUNJAB,"Amritsar , PUNJAB"
Amroha ,UTTAR PRADESH,"Amroha , UTTAR PRADESH"
Anand ,GUJARAT,"Anand , GUJARAT"
Anantapur ,ANDHRA PRADESH,"Anantapur , ANDHRA PRADESH"
Anantnag ,JAMMU & KASHMIR,"Anantnag , JAMMU & KASHMIR"
Arrah ,BIHAR,"Arrah , BIHAR"
Asansol ,WEST BENGAL,"Asansol , WEST BENGAL"
Ashoknagar Kalyangarh ,WEST BENGAL,"Ashoknagar Kalyangarh , WEST BENGAL"
Aurangabad ,BIHAR,"Aurangabad , BIHAR"
Aurangabad ,MAHARASHTRA,"Aurangabad , MAHARASHTRA"
Avadi ,TAMIL NADU,"Avadi , TAMIL NADU"
Azamgarh ,UTTAR PRADESH,"Azamgarh , UTTAR PRADESH"
Badlapur ,MAHARASHTRA,"Badlapur , MAHARASHTRA"
Bagaha ,BIHAR,"Bagaha , BIHAR"
Bagalkot ,KARNATAKA,"Bagalkot , KARNATAKA"
Bahadurgarh ,HARYANA,"Bahadurgarh , HARYANA"
Baharampur ,WEST BENGAL,"Baharampur , WEST BENGAL"
Bahraich ,UTTAR PRADESH,"Bahraich , UTTAR PRADESH"
Baidyabati ,WEST BENGAL,"Baidyabati , WEST BENGAL"
Baleshwar Town ,ORISSA,"Baleshwar Town , ORISSA"
Ballia ,UTTAR PRADESH,"Ballia , UTTAR PRADESH"
Bally ,WEST BENGAL,"Bally , WEST BENGAL"
Bally City,WEST BENGAL,"Bally City, WEST BENGAL"
Balurghat ,WEST BENGAL,"Balurghat , WEST BENGAL"
Banda ,UTTAR PRADESH,"Banda , UTTAR PRADESH"
Bankura ,WEST BENGAL,"Bankura , WEST BENGAL"
Bansberia ,WEST BENGAL,"Bansberia , WEST BENGAL"
Banswara ,RAJASTHAN,"Banswara , RAJASTHAN"
Baran ,RAJASTHAN,"Baran , RAJASTHAN"
Baranagar ,WEST BENGAL,"Baranagar , WEST BENGAL"
Barasat ,WEST BENGAL,"Barasat , WEST BENGAL"
Baraut ,UTTAR PRADESH,"Baraut , UTTAR PRADESH"
Barddhaman ,WEST BENGAL,"Barddhaman , WEST BENGAL"
Bareilly ,UTTAR PRADESH,"Bareilly , UTTAR PRADESH"
Baripada Town ,ORISSA,"Baripada Town , ORISSA"
Barnala ,PUNJAB,"Barnala , PUNJAB"
Barrackpur ,WEST BENGAL,"Barrackpur , WEST BENGAL"
Barshi ,MAHARASHTRA,"Barshi , MAHARASHTRA"
Basirhat ,WEST BENGAL,"Basirhat , WEST BENGAL"
Basti ,UTTAR PRADESH,"Basti , UTTAR PRADESH"
Batala ,PUNJAB,"Batala , PUNJAB"
Bathinda ,PUNJAB,"Bathinda , PUNJAB"
Beawar ,RAJASTHAN,"Beawar , RAJASTHAN"
Begusarai ,BIHAR,"Begusarai , BIHAR"
Belgaum ,KARNATAKA,"Belgaum , KARNATAKA"
Bellary ,KARNATAKA,"Bellary , KARNATAKA"
Bengaluru,KARNATAKA,"Bengaluru, KARNATAKA"
Bettiah ,BIHAR,"Bettiah , BIHAR"
Betul ,MADHYA PRADESH,"Betul , MADHYA PRADESH"
Bhadrak ,ORISSA,"Bhadrak , ORISSA"
Bhadravati ,KARNATAKA,"Bhadravati , KARNATAKA"
Bhadreswar ,WEST BENGAL,"Bhadreswar , WEST BENGAL"
Bhagalpur ,BIHAR,"Bhagalpur , BIHAR"
Bhalswa Jahangir Pur ,NCT OF DELHI,"Bhalswa Jahangir Pur , NCT OF DELHI"
Bharatpur ,RAJASTHAN,"Bharatpur , RAJASTHAN"
Bharuch ,GUJARAT,"Bharuch , GUJARAT"
Bhatpara ,WEST BENGAL,"Bhatpara , WEST BENGAL"
Bhavnagar ,GUJARAT,"Bhavnagar , GUJARAT"
Bhilai Nagar ,CHHATTISGARH,"Bhilai Nagar , CHHATTISGARH"
Bhilwara ,RAJASTHAN,"Bhilwara , RAJASTHAN"
Bhimavaram ,ANDHRA PRADESH,"Bhimavaram , ANDHRA PRADESH"
Bhind ,MADHYA PRADESH,"Bhind , MADHYA PRADESH"
Bhiwadi ,RAJASTHAN,"Bhiwadi , RAJASTHAN"
Bhiwandi ,MAHARASHTRA,"Bhiwandi , MAHARASHTRA"
Bhiwani ,HARYANA,"Bhiwani , HARYANA"
Bhopal ,MADHYA PRADESH,"Bhopal , MADHYA PRADESH"
Bhubaneswar Town ,ORISSA,"Bhubaneswar Town , ORISSA"
Bhuj ,GUJARAT,"Bhuj , GUJARAT"
Bhusawal ,MAHARASHTRA,"Bhusawal , MAHARASHTRA"
Bid ,MAHARASHTRA,"Bid , MAHARASHTRA"
Bidar ,KARNATAKA,"Bidar , KARNATAKA"
Bidhan Nagar ,WEST BENGAL,"Bidhan Nagar , WEST BENGAL"
Biharsharif ,BIHAR,"Biharsharif , BIHAR"
Bijapur ,KARNATAKA,"Bijapur , KARNATAKA"
Bikaner ,RAJASTHAN,"Bikaner , RAJASTHAN"
Bilaspur ,CHHATTISGARH,"Bilaspur , CHHATTISGARH"
Bokaro Steel City ,JHARKHAND,"Bokaro Steel City , JHARKHAND"
Bongaon ,WEST BENGAL,"Bongaon , WEST BENGAL"
Botad ,GUJARAT,"Botad , GUJARAT"
Brahmapur Town ,ORISSA,"Brahmapur Town , ORISSA"
Budaun ,UTTAR PRADESH,"Budaun , UTTAR PRADESH"
Bulandshahr ,UTTAR PRADESH,"Bulandshahr , UTTAR PRADESH"
Bundi ,RAJASTHAN,"Bundi , RAJASTHAN"
Burari ,NCT OF DELHI,"Burari , NCT OF DELHI"
Burhanpur ,MADHYA PRADESH,"Burhanpur , MADHYA PRADESH"
Buxar ,BIHAR,"Buxar , BIHAR"
Champdani ,WEST BENGAL,"Champdani , WEST BENGAL"
Chandannagar ,WEST BENGAL,"Chandannagar , WEST BENGAL"
Chandausi ,UTTAR PRADESH,"Chandausi , UTTAR PRADESH"
Chandigarh ,CHANDIGARH,"Chandigarh , CHANDIGARH"
Chandrapur ,MAHARASHTRA,"Chandrapur , MAHARASHTRA"
Chapra ,BIHAR,"Chapra , BIHAR"
Chas ,JHARKHAND,"Chas , JHARKHAND"
Chennai ,TAMIL NADU,"Chennai , TAMIL NADU"
Chhattarpur ,MADHYA PRADESH,"Chhattarpur , MADHYA PRADESH"
Chhindwara ,MADHYA PRADESH,"Chhindwara , MADHYA PRADESH"
Chikmagalur ,KARNATAKA,"Chikmagalur , KARNATAKA"
Chilakaluripet ,ANDHRA PRADESH,"Chilakaluripet , ANDHRA PRADESH"
Chitradurga ,KARNATAKA,"Chitradurga , KARNATAKA"
Chittaurgarh ,RAJASTHAN,"Chittaurgarh , RAJASTHAN"
Chittoor ,ANDHRA PRADESH,"Chittoor , ANDHRA PRADESH"
Churu ,RAJASTHAN,"Churu , RAJASTHAN"
Coimbatore ,TAMIL NADU,"Coimbatore , TAMIL NADU"
Cuddalore ,TAMIL NADU,"Cuddalore , TAMIL NADU"
Cuttack ,ORISSA,"Cuttack , ORISSA"
Dabgram ,WEST BENGAL,"Dabgram , WEST BENGAL"
Dallo Pura ,NCT OF DELHI,"Dallo Pura , NCT OF DELHI"
Damoh ,MADHYA PRADESH,"Damoh , MADHYA PRADESH"
Darbhanga ,BIHAR,"Darbhanga , BIHAR"
Darjiling ,WEST BENGAL,"Darjiling , WEST BENGAL"
